mass [MeV/c^2],Limit on sigma [cm^2]
39,6.35e-38
46,4.77e-38
54,3.24e-38
63,2.13e-38
100,9.73e-39
116,7.32e-39
135,4.94e-39
158,4.84e-39
184,3.10e-39
215,2.88e-39
251,2.33e-39
292,1.78e-39
341,1.43e-39
398,1.08e-39
800,1.32e-42
1000,2.85e-43
1200,1.05e-43
1400,5.20e-44
1600,3.16e-44
1800,2.21e-44
2000,1.72e-44
2200,1.43e-44
2400,1.26e-44
2600,1.15e-44
2800,1.07e-44
3000,1.01e-44
3200,9.60e-45
3500,9.01e-45
4000,8.32e-45
4500,7.89e-45
5000,7.66e-45
5500,7.56e-45
6000,7.49e-45
7000,7.31e-45
8000,7.05e-45
9000,6.79e-45
10000,6.64e-45
