mass,coupling
7.261799e-01, 1.019048e-13 
7.531473e-01, 1.060303e-13 
7.636328e-01, 1.004372e-13 
7.817783e-01, 8.699268e-14 
8.060710e-01, 8.409656e-14 
8.460373e-01, 7.671947e-14 
8.804344e-01, 7.611448e-14 
9.162299e-01, 6.748318e-14 
9.346698e-01, 6.255379e-14 
9.534807e-01, 5.242665e-14 
9.671485e-01, 4.734525e-14 
9.859113e-01, 3.861751e-14 
1.000756e+00, 3.531795e-14 
1.020897e+00, 2.948791e-14 
1.035531e+00, 2.670029e-14 
1.061647e+00, 2.265597e-14 
1.077632e+00, 2.036177e-14 
1.104810e+00, 1.744745e-14 
1.124642e+00, 1.576842e-14 
1.157116e+00, 1.313148e-14 
1.180404e+00, 1.228226e-14 
1.211035e+00, 1.055125e-14 
1.238930e+00, 9.800135e-15 
1.278337e+00, 8.501059e-15 
1.314833e+00, 8.136725e-15 
1.376537e+00, 7.444657e-15 
1.428431e+00, 7.374116e-15 
1.490743e+00, 6.672668e-15 
1.551352e+00, 6.766659e-15 
1.632912e+00, 6.441725e-15 
1.704145e+00, 6.616429e-15 
1.803979e+00, 6.597047e-15 
1.904233e+00, 7.259518e-15 
2.056359e+00, 8.102112e-15 
2.176827e+00, 9.180733e-15 
2.384426e+00, 1.120842e-14 
2.524113e+00, 1.305355e-14 
2.796493e+00, 1.813964e-14 
2.960320e+00, 2.257200e-14 
3.298497e+00, 3.391791e-14 
3.491733e+00, 4.270594e-14 
3.868530e+00, 6.661068e-14 
4.083520e+00, 8.533034e-14 
4.511317e+00, 1.252861e-13 
4.762029e+00, 1.440626e-13 
5.055374e+00, 1.452312e-13 
5.290945e+00, 1.530150e-13 
5.600905e+00, 1.527820e-13 
5.861897e+00, 1.620599e-13 
6.170078e+00, 1.602758e-13 
6.531540e+00, 1.698845e-13 
6.902379e+00, 1.833523e-13 
7.134101e+00, 1.796149e-13 
7.573567e+00, 1.809877e-13 
7.926481e+00, 1.932842e-13 
8.390839e+00, 1.959423e-13 
8.756874e+00, 2.068839e-13 
9.402759e+00, 2.317569e-13 
9.925309e+00, 2.616188e-13 
1.071822e+01, 3.005809e-13 
1.128172e+01, 3.361329e-13 
1.221772e+01, 3.953166e-13 
1.293347e+01, 4.617280e-13 
1.416691e+01, 5.793198e-13 
1.495422e+01, 6.720879e-13 
1.642706e+01, 8.598120e-13 
1.738941e+01, 1.024698e-12 
1.915655e+01, 1.372165e-12 
2.027880e+01, 1.643678e-12 
2.233957e+01, 2.213988e-12 
2.371570e+01, 2.738032e-12 
2.634979e+01, 3.974354e-12 
2.789344e+01, 4.877242e-12 
3.107989e+01, 7.215589e-12 
3.290065e+01, 9.026615e-12 
3.665911e+01, 1.382011e-11 
3.880671e+01, 1.729713e-11 
4.299439e+01, 2.596528e-11 
4.564287e+01, 3.329981e-11 
5.071240e+01, 5.217901e-11 
5.368329e+01, 6.646000e-11 
5.947631e+01, 1.035998e-10 
6.314010e+01, 1.335534e-10 
8.454528e+01, 4.908634e-10 
8.809399e+01, 5.988262e-10 
9.649531e+01, 9.206122e-10 
1.021483e+02, 1.190158e-09 
1.131712e+02, 1.913121e-09 
1.198012e+02, 2.491296e-09 
1.319756e+02, 3.962878e-09 
1.401053e+02, 5.218074e-09 
1.547830e+02, 8.431603e-09 
6.208868e+02, 7.718970e-06 
6.553920e+02, 9.982519e-06 
7.158546e+02, 1.561234e-05 
7.577916e+02, 2.041792e-05 
8.395657e+02, 3.352780e-05 
8.862238e+02, 4.375119e-05 
9.543020e+02, 6.263266e-05 
